LAT,LONG,NAME
34.6809153,-84.9868895,Valley Point School
34.7792463,-84.9866123,Dalton High School
32.484309,-84.9865986,Rose Hill Elementary School
32.4979196,-84.9857653,Fox Elementary School
32.5131969,-84.9854877,River Road Elementary School
33.1181782,-84.984104,Hickory Grove School (historical)
33.6273318,-84.9829982,Poplar Springs School (historical)
33.839549,-84.9810552,Union Elementary School
32.3576467,-84.9810416,Richard G Wilson School
33.5270562,-84.9804972,Center School (historical)
32.5062526,-84.9804876,Columbus Area Vocational Technical School
34.3695351,-84.9796664,Cunningham School (historical)
32.4606987,-84.9788204,Spencer Junior High School
32.489031,-84.9779874,Waverly Terrace Junior High School
33.5945548,-84.9777199,Midway School (historical)
32.5065304,-84.9777097,Daniel Junior High School
31.4385067,-84.9777043,Union School (historical)
32.0659888,-84.9777058,Bryan School (historical)
34.3406472,-84.9768885,Snow Springs School (historical)
32.4748648,-84.9765983,Linwood School
34.4614769,-84.9760551,Liberty School
32.5568063,-84.9757656,Double Churches School
32.4568099,-84.9749314,Manly Taylor Elementary School
33.3565053,-84.9738283,Midway School (historical)
34.780913,-84.9735563,Crown School
34.7550802,-84.9721672,Brookwood School
34.7731354,-84.9721673,Dalton Grade School (historical)
34.9028553,-84.9716126,Varnell Consolidated School
34.7736909,-84.971334,Crawford High School (historical)
32.51653,-84.9713208,Bealwood School
34.568974,-84.9710552,Max V Tolbert Elementary School
32.4945863,-84.970765,Jordan High School
34.7503581,-84.9705005,Atcooga School (historical)
34.7736909,-84.9702229,City Park School
33.4745576,-84.9699408,Springer School (historical)
32.5051415,-84.9693762,Harrison Avenue School
34.7661911,-84.9688339,Emory Street Public School (historical)
34.7667467,-84.9688339,Emory Street High School (historical)
32.4987528,-84.9688207,Johnson Elementary School
33.6681644,-84.9685536,Kinnay School (historical)
34.7575802,-84.9680005,Boylston Crown School (historical)
32.4095893,-84.9679864,Key Elementary School
30.9901857,-84.9665941,Saint Johns School
32.48292,-84.9665983,Saint Elmo Elementary School
34.7842464,-84.9657783,North Dalton Public School (historical)
33.3759492,-84.9654951,Elim School (historical)
32.4573654,-84.9652091,Shepherd Drive School
32.4568099,-84.9640979,Spencer School
33.0406802,-84.9641028,Clinton Chapel School (historical)
34.5045313,-84.9632769,Stephens School
34.7725799,-84.9632781,Fort Hill Elementary School
32.4793131,-84.9632712,Columbus High School
32.5143078,-84.9632651,Allen Elementary School
34.7717466,-84.9630004,Fort Hill Junior High School
34.7723021,-84.9618892,Fort Hill School
32.4568099,-84.9613201,Brown Avenue School
32.4693094,-84.9604869,Trinity School
32.5145855,-84.9602096,Arnold Junior High School
32.3582023,-84.9590967,Faith School
32.4709759,-84.9588202,Wynnton School
32.5020859,-84.9585428,Christian Life College of Theology
32.3551468,-84.9577078,Herbert J Dexter School
32.3662575,-84.9565968,Patch Kindergarten
34.5009203,-84.9563322,Calhoun High School
34.77008,-84.9560557,Morris Street School
32.4404215,-84.956042,Thirtieth Avenue Elementary School
